,Location,Location_Type,State,Bedroom_Size,Price_2014__AVG,Price_2015__AVG,Price_2016__AVG,Price_2017__AVG,Price_2018__AVG,Price_2019__AVG
18,"Houston, TX",City,TX,3br,1334.25,1383.5833333333333,1385.5833333333333,1362.5,1397.3333333333333,1398.3333333333333
19,"Houston, TX",City,TX,4br,1695.5833333333333,1758.1666666666667,1760.9166666666667,1731.5,1775.8333333333333,1776.8333333333333
20,"Philadelphia, PA",City,PA,Studio,752.0833333333334,773.6666666666666,798.9166666666666,806.9166666666666,815.4166666666666,819.8333333333334
21,"Philadelphia, PA",City,PA,1br,892.5833333333334,918.5,948.3333333333334,957.75,967.9166666666666,973.3333333333334
22,"Philadelphia, PA",City,PA,2br,1077.8333333333333,1108.9166666666667,1144.9166666666667,1156.1666666666667,1168.6666666666667,1175.0
23,"Philadelphia, PA",City,PA,3br,1348.3333333333333,1387.3333333333333,1432.4166666666667,1446.3333333333333,1462.1666666666667,1470.1666666666667
24,"Philadelphia, PA",City,PA,4br,1500.4166666666667,1543.8333333333333,1594.0833333333333,1609.5833333333333,1626.9166666666667,1635.8333333333333
25,"Phoenix, AZ",City,AZ,Studio,587.3333333333334,615.25,640.6666666666666,670.4166666666666,689.0833333333334,708.3333333333334
26,"Phoenix, AZ",City,AZ,1br,713.4166666666666,747.5,778.25,814.4166666666666,837.0,860.3333333333334
27,"Phoenix, AZ",City,AZ,2br,889.0,931.3333333333334,969.75,1014.6666666666666,1043.25,1072.0
28,"Phoenix, AZ",City,AZ,3br,1293.8333333333333,1355.5833333333333,1411.3333333333333,1476.8333333333333,1518.0,1560.5
29,"Phoenix, AZ",City,AZ,4br,1501.0833333333333,1572.5833333333333,1637.3333333333333,1713.3333333333333,1761.0833333333333,1810.1666666666667
30,"San Antonio, TX",City,TX,Studio,622.0,640.5833333333334,660.0,673.0,680.9166666666666,691.8333333333334
31,"San Antonio, TX",City,TX,1br,766.25,789.1666666666666,812.75,828.9166666666666,838.5833333333334,852.0
